Code,Name
QDi.341, KEVIN JORDAN AXEL GUIAVARCH
TAi.161, BAKHT GUL
QDi.218, GUN GUN RUSMAN GUNAWAN
TAi.069, RUSTUM HANAFI HABIBULLAH
IQi.023, MIZBAN KHADR HADI
TAi.140, GUL AHMAD HAKIMI
QDi.003, SALIM AHMAD SALIM HAMDAN
QDi.068, ADEL BEN AL-AZHAR BEN YOUSSEF HAMDI
SOi.010, OMAR HAMMAMI
KPi.049,PAK HAN SE
TAi.043, DIN MOHAMMAD HANIF
QDi.204, ISNILON TOTONI HAPILON
QDi.268, ABDUL HAQ
TAi.040, JALALUDDIN HAQQANI
TAi.150, KHALIL AHMED HAQQANI
TAi.079, MOHAMMAD SALIM HAQQANI
TAi.146, NASIRUDDIN HAQQANI
TAi.006, SAYYED MOHAMMED HAQQANI
TAi.144, SIRAJUDDIN JALLALOUDINE HAQQANI
TAi.169, YAHYA HAQQANI
IQi.064, ALI BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.083, AYMAN SABAWI IBRAHIM HASAN AL-TIKRITI
IQi.085, BASHAR SABAWI IBRAHIM HASAN AL-TIKRITI
IQi.084, IBRAHIM SABAWI IBRAHIM HASAN AL-TIKRITI
IQi.066, KHAWLA BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.062, MOHAMMAD BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.065, NOOR BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.082, OMAR SABAWI IBRAHIM HASAN AL-TIKRITI
IQi.063, SAJA BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.086, SA’D SABAWI IBRAHIM HASAN AL-TIKRITI
IQi.067, THORAYA BARZAN IBRAHIM HASAN AL-TIKRITI
IQi.081, YASIR SABAWI IBRAHIM HASAN AL-TIKRITI
QDi.378, MAXIME HAUCHARD
IRi.017, MOHAMMAD HEJAZI
TAi.014, HIDAYATULLAH
TAi.071, NAJIBULLAH HAQQANI HIDAYATULLAH
QDi.029, RAED MUHAMMAD HASAN MUHAMMAD HIJAZI
CFi.012,ABDOULAYE HISSENE
KPi.001, YUN HO-JIN
IRi.018, MOHSEN HOJATI
KPi.004, RI HONG-SOP
TAi.049, ABDUL RAHMAN AHMAD HOTTAK
QDi.359, OMAR ALI HUSSAIN
QDi.144, MOHAMMAD TAHIR HAMMID HUSSEIN
IQi.019, ABD-AL-TAWWAB MULLAH HUWAYSH
KPi.042, CHOE HWI
KPi.065, CHU HYO’K
QDi.067, MOSTAFA KAMEL MOSTAFA IBRAHIM
QDi.395, MUHAMMAD SHOLEH IBRAHIM
TAi.119, JAN MOHAMMAD MADANI IKRAM
KPi.029, PAK CHUN IL
KPi.040, CHO IL U
QDi.374, NUSRET IMAMOVIC
GBi.005, ANTÓNIO INJAI
QDi.308, ZAFAR IQBAL
QDi.087, NURJAMAN RIDUAN ISAMUDDIN
TAi.147, GUL AGHA ISHAKZAI
QDi.368, SHAMIL MAGOMEDOVICH ISMAILOV
CDi.003, GASTON IYAMUREMYE
LYi.029, Osama Al Kuni Ibrahim
KPi.062, Pak Il Kyu
KPi.070, KU JA HYONG
LYi.007, ABU BAKR YUNIS JABIR
KPi.051,RI JAE IL
TAi.047, QUDRATULLAH JAMAL
TAi.170, SAIDULLAH JAN
KPi.055, HAN JANG SU
KPi.002, RI JE-SON
KPi.027,RYU JIN
QDi.360, SALLY-ANNE FRANCES JONES
KPi.066, KIM JONG SIK
QDi.394, HUSAYN JUAYTHINI
QDi.114, SALIM Y SALAMUDDIN JULKIPLI
KPi.021, KIM JUNG JONG
LYi.027, Ibrahim Saeed Salim Jadhran
CDi.004, INNOCENT KAINA
TAi.137, RAHMATULLAH KAKAZADA
CDi.005, JÉRÔME KAKWAVU BUKANDE
QDi.072, MEHDI BEN MOHAMED BEN MOHAMED KAMMOUN
CDi.035,GÉDÉON KYUNGU MUTANGA WA BAFUNKWA KANONGA
QDi.416, MOHAMMED YUSIP KARIM
QDi.135, DAWOOD IBRAHIM KASKAR
CDi.006, GERMAIN KATANGA
IRi.020, MEHRDADA AKHLAGHI KETABACHI
TAi.025, ABDUL RAUF KHADEM
TAi.093, KHAIRULLAH KHAIRKHWAH
SOi.005, FUAD MOHAMED KHALAF
QDi.372, GULMUROD KHALIMOV
QDi.306, MUSTAFA HAJJI MUHAMMAD KHAN
TAi.064, EZATULLAH HAQQANI KHAN SAYYID
QDi.336, ANAS HASAN KHATTAB
TAi.163, KHAIRULLAH BARAKZAI KHUDAI NAZAR
TAi.165, MOHAMMED QASIM MIR WALI KHUDAI RAHIM
TAi.013, MOHAMMAD NAIM BARICH KHUDAIDAD
QDi.418, MUHAMMED REZA LAHAMAN KIRAM
QDi.340, EMILIE EDWIGE KONIG
CFi.010, ALI KONY
CFi.009, JOSEPH KONY
CFi.011, SALIM KONY
QDi.408, ALEXANDA AMON KOTEY
QDi.425, AMADOU KOUFA
CFi.013, MARTIN KOUMTAMADJI
KPi.015,HYON KWANG IL
KPi.009, KIM KWANG-IL
KPi.008, RA KY'ONG-SU
KPi.071, MUN KYONG HWAN
KPi.067, KIM KYONG IL
KPi.045, KIM KYONG OK
KPi.022,KIM KYU
LYi.025, Mohammed Al Amin Al-Arabi Kashlaf
IQi.049, Rashid Taan Kathim
QDi.383, MORAD LAABOUDI
QDi.190, ABDELKADER LAAGOUB
QDi.319, MOHAMED LAHBOUS
QDi.062, MOHAMED LAKHAL
QDi.264, ZAKI-UR-REHMAN LAKHVI
TAi.053, ABDUL RAZAQ AKHUND LALA AKHUND
QDi.247," RUBEN PESTANO LAVILLA, JR"
QDi.155, DJAMEL LOUNICI
CDi.007, THOMAS LUBANGA
IQi.024, TAHA MUHYI-AL-DIN MA'RUF
QDi.413, MYRNA AJIJUL MABANZA
TAi.102, ZIA-UR-RAHMAN MADANI
SOi.006, BASHIR MOHAMED MAHAMOUD
IQi.052, ADIL ABDALLAH MAHDI
QDi.356, AQSA MAHMOOD
MLi.007, MOHAMED BEN AHMED MAHRI
CDi.008, SULTANI MAKENGA
SSi.001, GABRIEL JOK RIAK MAKOL
IRi.022, NASER MALEKI
KPi.026, RI MAN GON
SOi.008, FARES MOHAMMED MANA'A
CDi.009, KHAWA PANGA MANDRO
SSi.005, MARIAL CHANUONG YOL MANGOK
TAi.007, ABDUL LATIF MANSUR
MLi.008, MOHAMED OULD MATALY
TAi.068, MOHAMMADULLAH MATI
TAi.021, ALLAH DAD MATIN
TAi.020, MATIULLAH
LYi.008, MATUQ MOHAMMED MATUQ
QDi.423, ALI MAYCHOU
SDi.004, JIBRIL ABDULKARIM IBRAHIM MAYU
TAi.135, ABDUL QUDDUS MAZHARI
TAi.023, FAZL MOHAMMAD MAZLOOM
CDi.010, CALLIXTE MBARUSHIMANA
TAi.078, MOHAMMAD WALI MOHAMMAD EWAZ
TAi.122, ABDUL MANAN MOHAMMAD ISHAK
TAi.003, ABDUL KABIR MOHAMMAD JAN
TAi.141, ABDULLAH HAMAD MOHAMMAD KARIM
TAi.126, MOHAMMAD SARWAR SIDDIQMAL MOHAMMAD MASOOD
TAi.052, MOHAMMAD YAQOUB
TAi.099, MOHAMMAD SHAFIQ MOHAMMADI
SOi.011, ABOUD ROGO MOHAMMED
QDi.126, YUNOS UMPARA MOKLIS
QDi.147, MOHAMED AMIN MOSTAFA
TAi.026, AMIR KHAN MOTAQI
TAi.051, ABDULHAI MOTMAEN
QDi.129, DJAMEL MOUSTFA
CDi.011, IRUTA DOUGLAS MPAMO
QDi.238, MUBARAK MUSHAKHAS SANAD MUBARAK AL-BATHALI
CDi.012, SYLVESTRE MUDACUMURA
CDi.013, LEODOMIR MUGARAGU
TAi.016, ALLAH DAD TAYEB WALI MUHAMMAD
TAi.132, NAJIBULLAH MUHAMMAD JUMA
TAi.073, MOHAMMAD MOSLIM HAQQANI MUHAMMADI GUL
QDi.272, MOHAMMED YAHYA MUJAHID
CDi.014, LEOPOLD MUJYAMBERE
CDi.015, JAMIL MUKULU
KPi.060, KIM MUN CHOL
KPi.079, PAK MUN IL
KPi.019,KANG MUN KIL
QDi.119, ARIS MUNANDAR
CDi.032,MUHINDO AKILI MUNDOS
QDi.120, ABDUL HAKIM MURAD
CDi.016, IGNACE MURWANASHYAKA
CDi.017, STRATON MUSONI
QDi.196, ALI SAYYID MUHAMED MUSTAFA BAKRI
CDi.018, JULES MUTEBUTSI
QDi.357, ASEEL MUTHANA
QDi.358,NASSER AHMED MUTHANA
CDi.033,GUIDON SHIMIRAY MWISSA
KPi.018,JON MYONG GUK
KPi.007, CHANG MYONG-CHIN
QDi.406, Murad Iraklievich Margoshvili
QDi.427, Noor Wali Mehsud
MLi.003, Mohamed Ousmane Ag Mohamedoune
GBi.006, TCHIPA NA BIDON
GBi.007, TCHAM NA MAN
GBi.008, ESTÊVÃO NA MENA
QDi.280, TAYEB NAIL
KPi.061, KIM NAM UNG
IRi.026, MOHAMMAD REZA NAQDI
GBi.009, DABA NAUALNA
IRi.027, MOHAMMAD MEHDI NEJAD NOURI
CDi.019, BAUDOIN NGARUYE WA MYAMURO
CFi.008, EUGÈNE BARRET NGAÏKOSSET
