,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,,
569,7/8/2019,290.9616667,408.49,359.9757143,451.782,,
570,8/8/2019,286.6191667,408.29,363.9675,441.3166667,,
572,10/8/2019,274.4644444,408,359.1766667,427.4985714,,
577,15/8/2019,278.5771429,404.64,354.8883333,435.33,,
579,17/8/2019,280.7191304,405.66,362.62,426.4222222,,
581,19/8/2019,287.95,405.475,359.99,414.97,,
582,20/8/2019,279.8266667,400,354.955,416.0533333,,
583,21/8/2019,257.9933333,405.495,353.7877778,422.95,,
584,22/8/2019,256.5825,405,354.224,430.634,,
585,23/8/2019,260.4242857,404.5,352.802,422.3,,
586,24/8/2019,264.12,404.4166667,353.9466667,429.784,,
587,25/8/2019,262.445,401.49,354.192,430.9833333,,
588,26/8/2019,270.094,398.13,350.9144444,434,,
589,27/8/2019,277.982,398.875,342.2707692,434.5133333,,
590,28/8/2019,279.6558333,398.975,334.35375,432.0666667,,
592,30/8/2019,282.9014286,398.95,330.4183333,434.2475,,
593,31/8/2019,280.0525,394.5566667,328.0883333,436.985,,
594,1/9/2019,267.6466667,393.3575,323,438,,
595,2/9/2019,266.985,393.99,334.9516667,440.975,,
597,4/9/2019,273.695,389.795,332.2057143,429.6466667,,
599,6/9/2019,273.8463636,394.3175,345.33,426.6533333,,
603,10/9/2019,259.9916667,398.5,352.86,427.2833333,,
605,12/9/2019,266.6633333,400.525,352.67,419.125,,
606,13/9/2019,267.485,402.725,352.4542857,421.398,,
607,14/9/2019,272.2085714,402.7071429,352.655,414.2125,,
609,16/9/2019,267.91,398.14,353.816,414.98,,
611,18/9/2019,265,390.47,349.6433333,413.766,,
615,22/9/2019,264.97,403.8083333,338.995,409.99,,
616,23/9/2019,264.525,408.8966667,339.5,415.83,,
618,25/9/2019,262.5,407.3183333,344.5,404.9625,,
619,26/9/2019,270,400.798,345.6133333,402.945,,
620,27/9/2019,269.995,405.794,345.6133333,400.99,,
621,28/9/2019,276.975,407.99,345,401.99,,
622,29/9/2019,279.3266667,408.33,348.5,402,,
624,1/10/2019,274.4975,411.2125,346,399.99,,
626,3/10/2019,273.2866667,407,345,394.98,,
627,4/10/2019,276.965,398.8485714,342.995,398.97,,
628,5/10/2019,276.0985714,404.1225,344.96,397.3166667,,
629,6/10/2019,274.59125,402.196,344.2307692,397.88,,
630,7/10/2019,277.2277778,404.83,345.4975,399.8875,,
631,8/10/2019,273.51,404.33,344.99,398.36,,
638,15/10/2019,272.3990909,401.95,339.985,395.38,,
639,16/10/2019,274.615,395.65,339.475,395.43,,
642,19/10/2019,274.166,398.7457143,334.99,387.86,,
644,21/10/2019,274.215,389.75,334.49,387.86,,
645,22/10/2019,269.5,397.745,331.99,386.86,,
646,23/10/2019,270.4975,400.45,334.235,386.2466667,,
648,25/10/2019,269.9016667,387.7,341.3033333,419.13,,
649,26/10/2019,268.99,381.45,340.745,377.86,,
650,27/10/2019,268.6566667,372.475,340.186,383.63,,
658,4/11/2019,265.995,358.3,334.90125,388.92,,
666,12/11/2019,270.99,351,316.2157143,376.425,,
668,14/11/2019,264.49,340.3,315.85,377.86,,
670,16/11/2019,273,339,313.475,403.542,,
671,17/11/2019,270.995,336,309.36,397.74,,
673,19/11/2019,239.3066667,327.475,314.1407692,398.93,,
674,20/11/2019,262.495,329.5388889,305.9866667,419.95,,
675,21/11/2019,258.995,320,308,415.7225,,
680,26/11/2019,242.5,310.09,297.8033333,398.96,,
681,27/11/2019,245,316.775,293.4985714,420,,
682,28/11/2019,246,320.75,292.2,417.99,,
683,29/11/2019,248,319.53,291.148,418.3166667,,
684,30/11/2019,248.5,322,293.186,413,,
687,3/12/2019,248.245,308.7575,290.7614286,414.9975,,
688,4/12/2019,248.495,303.475,285.925,418.9975,,
690,6/12/2019,248.3266667,301.198,259.41,413.196,,
691,7/12/2019,247,299.9533333,277.472,415.495,,
692,8/12/2019,245.88,302.2866667,277.68875,407.2333333,,
693,9/12/2019,247.058,305.93,290.5286667,415.2025,,
694,10/12/2019,252.4,305.75,286.2683333,414.6566667,,
695,11/12/2019,241.08,300.8442857,284.0169231,398.96,,
696,12/12/2019,239.5,299.719,284.26625,382.86,,
700,16/12/2019,247.08,293.745,282.79,395.43,,
702,18/12/2019,249.73,294.1666667,278.42,401.3533333,,
705,21/12/2019,256.5,295,277.71,404.37,,
706,22/12/2019,251.224,298,277.2725,399.614,,
707,23/12/2019,252.24625,294.5,276.46,391.1,,
708,24/12/2019,249.64,294.7272727,272.665,377.86,,
710,26/12/2019,246.596,291.165,273.8425,402.81,,
712,28/12/2019,257.645,296.4436364,274.4755556,387.06,,
713,29/12/2019,246.49,298.495,273.492,377.86,,
715,31/12/2019,242.7966667,302.1477778,273.9485714,372.86,,
717,2/1/2020,250.675,298.2128571,276.95,383.91,,
720,5/1/2020,238.97,298.59,271.915,398,,
721,6/1/2020,236.592,297,266.7775,372.86,,
722,7/1/2020,232.495,301.8625,268.005,392.9366667,,
723,8/1/2020,230.176,298.05625,267.6575,391.534,,
725,10/1/2020,243.825,299.625,267.562,408.2966667,,
726,11/1/2020,236.78,304.99,267.8,397.995,,
