Day,iPhone,Apple iPhone 8
722,298.3326914,232.495
723,296.3580102,230.176
725,304.2923446,243.825
726,301.393079,236.78
727,321.8422508,242.596
728,314.0788965,241.916
729,316.6399203,243.7688889
730,317.5105031,245.4975
733,313.4514333,244.745
734,313.183274,245.9933333
735,312.3684446,247.796
743,302.7656629,245.456
744,302.5375698,243.95
745,298.4017118,243.975
749,303.2872898,245.488
753,310.9782186,267.96
754,302.736983,248.9733333
759,305.0197831,253.6428571
761,299.8413653,247.1311111
762,299.3292121,248.2133333
764,302.3189058,257.8733333
771,294.2120855,233.9933333
773,296.0555394,239.4875
774,294.8015001,237
776,289.9954585,235.495
777,289.5012548,234.475
778,290.2534663,231.63
780,284.359594,232.74
797,294.5503136,222.7333333
799,296.8500428,223.2
800,295.9452254,223.29
801,293.2183236,221.9166667
802,290.8427152,220.99
803,287.7896529,217.896
804,295.0093603,213.535
805,289.0124634,211.08
807,290.1661734,209.3575
808,291.3906446,207.7066667
809,289.6452918,201.6533333
810,289.5765748,203.3185714
814,308.595389,189.5677778
821,289.8926414,187.4357143
822,291.9729047,182.125
825,289.4838756,180.92
826,288.9816655,178.9975
827,288.2086581,179.311
829,283.4573006,179.9185714
830,280.7188989,179.985
834,278.3130142,178.8709091
835,278.8148466,181.5857143
838,277.3708751,179
840,279.0063399,179.7433333
