Date,iPhone,Apple iPhone 8
3/7/2019,390.2299518,232.275
6/7/2019,393.1499765,232.34
7/7/2019,392.5573935,232.34
8/7/2019,390.99055,235.07875
13/7/2019,387.7062902,234.86
14/7/2019,384.4775966,233
15/7/2019,379.142038,232.5
26/7/2019,388.7795884,267.95
27/7/2019,385.5353125,257.9833333
29/7/2019,387.1530172,270
30/7/2019,382.9880337,269.5775
1/8/2019,389.4940197,284.23
2/8/2019,386.6459756,269.95
3/8/2019,387.417979,273.74
4/8/2019,385.6644867,272.698
6/8/2019,382.3764258,274.3483333
7/8/2019,386.0718294,282.81
8/8/2019,387.0382377,297.4254545
9/8/2019,390.8832768,319.384
10/8/2019,378.2472789,288.3
12/8/2019,376.8750554,296.9877778
13/8/2019,374.5525422,282.3811111
16/8/2019,379.7688001,290.592
17/8/2019,377.4029095,290.9616667
18/8/2019,374.6820218,286.6191667
20/8/2019,366.9480877,274.4644444
25/8/2019,367.9922526,278.5771429
27/8/2019,368.5309447,280.7191304
29/8/2019,366.829118,287.95
30/8/2019,362.4112028,279.8266667
31/8/2019,359.7008497,257.9933333
1/9/2019,361.221073,256.5825
2/9/2019,359.6559741,260.4242857
3/9/2019,362.6941102,264.12
4/9/2019,361.8918206,262.445
5/9/2019,362.8946668,270.094
6/9/2019,363.0325966,277.982
7/9/2019,360.8962718,279.6558333
9/9/2019,361.2594695,282.9014286
10/9/2019,359.5263446,280.0525
11/9/2019,355.0762877,267.6466667
12/9/2019,358.7915572,266.985
14/9/2019,355.9502775,273.695
16/9/2019,359.6744199,273.8463636
20/9/2019,359.277117,259.9916667
22/9/2019,359.4120982,266.6633333
23/9/2019,360.6784462,267.485
24/9/2019,360.1455331,272.2085714
26/9/2019,358.3921912,267.91
28/9/2019,354.3850566,265
2/10/2019,354.1424763,264.97
3/10/2019,356.8752686,264.525
5/10/2019,354.5443261,262.5
6/10/2019,354.5735948,270
7/10/2019,355.3492152,269.995
8/10/2019,357.7529022,276.975
9/10/2019,359.3090581,279.3266667
11/10/2019,357.6983286,274.4975
13/10/2019,354.8494227,273.2866667
14/10/2019,354.2036114,276.965
15/10/2019,355.3981596,276.0985714
16/10/2019,354.4895761,274.59125
17/10/2019,356.6279155,277.2277778
18/10/2019,355.0626893,273.51
25/10/2019,352.1978612,272.3990909
26/10/2019,351.0543199,274.615
29/10/2019,348.73551,274.166
31/10/2019,346.3575832,274.215
1/11/2019,346.3115255,269.5
2/11/2019,347.654692,270.4975
4/11/2019,354.1554693,269.9016667
5/11/2019,342.0556134,268.99
6/11/2019,340.9918649,268.6566667
14/11/2019,336.7316965,265.995
22/11/2019,328.4011378,270.99
24/11/2019,324.3312979,264.49
26/11/2019,331.8736084,273
27/11/2019,328.155647,270.995
29/11/2019,319.5166149,239.3066667
30/11/2019,329.0097033,262.495
1/12/2019,325.1895672,258.995
6/12/2019,311.8628101,242.5
7/12/2019,318.2767358,245
8/12/2019,318.709939,246
9/12/2019,318.723654,248
10/12/2019,318.6730308,248.5
13/12/2019,315.1592106,248.245
14/12/2019,313.6662902,248.495
16/12/2019,304.9882779,248.3266667
17/12/2019,309.425908,247
18/12/2019,307.7523498,245.88
19/12/2019,314.1404691,247.058
20/12/2019,314.2403231,252.4
21/12/2019,305.7274558,241.08
22/12/2019,301.1462388,239.5
26/12/2019,304.2753264,247.08
28/12/2019,305.4132892,249.73
31/12/2019,307.8930809,256.5
1/1/2020,306.039659,251.224
2/1/2020,303.1171849,252.24625
3/1/2020,298.3099664,249.64
5/1/2020,303.08121,246.596
7/1/2020,303.4756062,257.645
8/1/2020,298.6722202,246.49
10/1/2020,297.5454656,242.7966667
12/1/2020,302.0094524,250.675
15/1/2020,301.3640056,238.97
16/1/2020,292.8921171,236.592
17/1/2020,298.3326914,232.495
18/1/2020,296.3580102,230.176
20/1/2020,304.2923446,243.825
21/1/2020,301.393079,236.78
22/1/2020,321.8422508,242.596
23/1/2020,314.0788965,241.916
24/1/2020,316.6399203,243.7688889
25/1/2020,317.5105031,245.4975
28/1/2020,313.4514333,244.745
29/1/2020,313.183274,245.9933333
30/1/2020,312.3684446,247.796
7/2/2020,302.7656629,245.456
8/2/2020,302.5375698,243.95
9/2/2020,298.4017118,243.975
13/2/2020,303.2872898,245.488
17/2/2020,310.9782186,267.96
18/2/2020,302.736983,248.9733333
23/2/2020,305.0197831,253.6428571
25/2/2020,299.8413653,247.1311111
26/2/2020,299.3292121,248.2133333
28/2/2020,302.3189058,257.8733333
6/3/2020,294.2120855,233.9933333
8/3/2020,296.0555394,239.4875
9/3/2020,294.8015001,237
11/3/2020,289.9954585,235.495
12/3/2020,289.5012548,234.475
13/3/2020,290.2534663,231.63
15/3/2020,284.359594,232.74
1/4/2020,294.5503136,222.7333333
3/4/2020,296.8500428,223.2
4/4/2020,295.9452254,223.29
5/4/2020,293.2183236,221.9166667
6/4/2020,290.8427152,220.99
7/4/2020,287.7896529,217.896
8/4/2020,295.0093603,213.535
9/4/2020,289.0124634,211.08
11/4/2020,290.1661734,209.3575
12/4/2020,291.3906446,207.7066667
13/4/2020,289.6452918,201.6533333
14/4/2020,289.5765748,203.3185714
18/4/2020,308.595389,189.5677778
25/4/2020,289.8926414,187.4357143
26/4/2020,291.9729047,182.125
29/4/2020,289.4838756,180.92
30/4/2020,288.9816655,178.9975
1/5/2020,288.2086581,179.311
3/5/2020,283.4573006,179.9185714
4/5/2020,280.7188989,179.985
8/5/2020,278.3130142,178.8709091
9/5/2020,278.8148466,181.5857143
12/5/2020,277.3708751,179
14/5/2020,279.0063399,179.7433333
